index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
15289,-78.167703,43.957309,Ontario,474900.0,1,19,2,2,92,Condominium,39.987335205078125
15290,-79.22800699999998,43.200958,Ontario,449900.0,1,3,3,2,3,Freehold,33.074073791503906
15291,-79.386151,43.669846,Ontario,2400.0,2,1,1,1,6,Condominium/Strata,16.89358139038086
15292,-79.3876245,43.6668152,Ontario,399900.0,1,1,1,1,7,Condominium/Strata,25.349910736083984
15293,-79.3045815,43.8561955,Ontario,2100.0,2,1,2,2,14,Condominium/Strata,22.74265480041504
15294,-79.4512163,43.7148874,Ontario,587900.0,1,6,2,3,8,Condominium/Strata,28.333147048950195
15295,-78.8885253667831,43.964194220438,Ontario,1799.0,2,6,3,3,12,Freehold,31.817485809326172
15296,-74.708395,45.018798,Ontario,89987.0,1,3,3,2,37,Freehold,63.27734375
15297,-81.290225,42.939956,Ontario,400000.0,1,3,4,3,22,Freehold,22.880661010742188
15298,-79.963758,43.219244,Ontario,599000.0,1,3,3,1,20,Freehold,37.29759979248047
15299,-79.3841709,43.6693009,Ontario,1800.0,2,1,0,1,58,Condominium/Strata,15.796937942504883
15300,-75.51801800000001,45.433624,Ontario,575000.0,1,3,3,3,25,Freehold,42.454498291015625
15301,-75.698975,45.359943,Ontario,889000.0,1,3,4,4,8,Freehold,49.431339263916016
15302,-79.846335,43.260776,Ontario,270000.0,1,3,3,3,21,Freehold,25.00572967529297
15303,-79.2544189095497,43.894749556998796,Ontario,2200.0,2,6,3,3,17,Freehold,23.951627731323242
15304,-79.4042052,43.8801269,Ontario,2300.0,2,6,3,3,6,Freehold,23.576147079467773
15305,-79.7212881,43.374053,Ontario,1086000.0,1,1,1,3,61,Condominium/Strata,39.29908752441406
15306,-79.2498945,43.7889292,Ontario,1200000.0,1,3,5,4,93,Freehold,41.74357223510742
15307,-79.254327,43.176345,Ontario,399900.0,1,3,3,2,79,Freehold,28.248727798461914
15308,-80.1199359,43.8946863,Ontario,1098900.0,1,3,4,3,92,Freehold,53.991703033447266
15309,-80.548109,44.393903,Ontario,530000.0,1,3,3,2,74,Freehold,49.46229934692383
15310,-79.6885817,43.7588999,Ontario,499990.0,1,1,3,2,21,Condominium/Strata,28.815580368041992
